s,x,y,kappa,altitude(m)
1357.813805,430.7474265,159.908231,0.002095737,13.572
1358.813668,431.7327375,159.7372021,0.001974653,13.542
1359.813531,432.7186249,159.5700393,0.001870694,13.512
1360.813394,433.7056678,159.4108245,0.001784333,13.482
1361.813257,434.6944444,159.2636349,0.001714982,13.451
1362.81312,435.6852259,159.130397,0.001661108,13.42
1363.812983,436.6775061,159.007591,0.001620432,13.388
1364.812846,437.6706573,158.8908474,0.001590097,13.356
1365.812708,438.6640519,158.7757967,0.001566928,13.325
1366.812571,439.6571026,158.6583505,0.00154783,13.293
1367.812434,440.649679,158.5376027,0.001530141,13.261
1368.812297,441.6419397,158.4146604,0.001511936,13.23
1369.81216,442.6340481,158.2906624,0.001492216,13.198
1370.812023,443.6261672,158.1667477,0.001470885,13.171
1371.811886,444.6184172,158.0437515,0.001448353,13.169
1372.811749,445.6107777,157.9215233,0.001425152,13.166
1373.811612,446.6031999,157.7997127,0.001401665,13.163
1374.811474,447.5956352,157.6779695,0.001377964,13.16
1375.811337,448.588036,157.5559533,0.001353889,13.157
1376.8112,449.5803918,157.4336036,0.00132928,13.153
1377.811063,450.5727321,157.311166,0.001304117,13.149
1378.810926,451.5650884,157.1889016,0.001278652,13.145
1379.810789,452.5574925,157.0670717,0.001253619,13.14
1380.810652,453.5499643,156.9458362,0.00123034,13.135
1381.810515,454.542453,156.8247357,0.001210644,13.13
1382.810378,455.5348811,156.7030764,0.001196621,13.125
1383.81024,456.5271707,156.5801641,0.001190136,13.119
1384.810103,457.5192454,156.4553137,0.001192105,13.113
1385.809966,458.5111453,156.3288918,0.001202017,13.107
1386.809829,459.5031351,156.20328,0.001217806,13.1
1387.809692,460.4955046,156.0810875,0.001236087,13.093
1388.809555,461.4885437,155.9649237,0.001252837,13.086
1389.809418,462.482508,155.8570961,0.001264295,13.079
1390.809281,463.4773335,155.7570959,0.001267664,13.071
1391.809144,464.4727819,155.6628805,0.001261459,13.063
1392.809006,465.4686135,155.5723914,0.001245486,13.054
1393.808869,466.4645892,155.4835796,0.00122041,13.046
1394.808732,467.4605573,155.3951018,0.001187164,13.037
1395.808595,468.4565142,155.3068222,0.001146629,13.028
1396.808458,469.452471,155.2187234,0.001099513,13.019
1397.808321,470.4484387,155.1307876,0.00104648,13.009
1398.808184,471.444427,155.0429953,0.000988425,12.998
1399.808047,472.4404342,154.9553099,0.000926609,12.962
1400.80791,473.4364529,154.867687,0.000862609,12.927
1401.807772,474.4324761,154.7800822,0.000798136,12.891
1402.807635,475.4284965,154.6924511,0.000734737,12.855
1403.807498,476.4245095,154.6047653,0.000673573,12.819
1404.807361,477.4205163,154.5170348,0.000615358,12.784
1405.807224,478.4165192,154.4292753,0.000560449,12.748
1406.807087,479.4125205,154.3415024,0.000509103,12.712
1407.80695,480.4085222,154.2537306,0.000461841,12.677
1408.806813,481.4045244,154.1659569,0.000419624,12.641
1409.806676,482.4005254,154.0781634,0.00038383,12.605
1410.806538,483.3965236,153.990332,0.000356054,12.57
1411.806401,484.3925171,153.9024443,0.000337647,12.534
1412.806264,485.3885055,153.8144946,0.000329251,12.498
1413.806127,486.3844926,153.7265329,0.000330543,12.463
1414.80599,487.3804838,153.6386247,0.0003402,12.427
1415.805853,488.3764844,153.5508356,0.000356075,12.391
1416.805716,489.3724995,153.4632288,0.000375632,12.356
1417.805579,490.368525,153.3757519,0.000396427,12.32
1418.805442,491.3645433,153.2881844,0.000416465,12.284
1419.805304,492.3605358,153.2002922,0.000434442,12.249
1420.805167,493.3564838,153.1118415,0.000449855,12.213
1421.80503,494.3523761,153.0226909,0.000462797,12.177
1422.804893,495.3482668,152.9335029,0.000473653,12.142
1423.804756,496.3442433,152.8453546,0.000482796,12.106
1424.804619,497.3403936,152.7593263,0.000490199,12.07
1425.804482,498.3368053,152.6764978,0.00049516,12.034
1426.804345,499.3335263,152.5974592,0.000496284,11.999
1427.804208,500.3304895,152.5213927,0.000491647,11.963
1428.804071,501.327607,152.447229,0.000479112,11.927
1429.803933,502.3247913,152.373899,0.000456823,11.892
1430.803796,503.3219566,152.3003561,0.000423638,11.856
1431.803659,504.3190658,152.2261463,0.000379321,11.82
1432.803522,505.3161341,152.1514501,0.000324532,11.784
1433.803385,506.3131793,152.0764794,0.000260621,11.749
1434.803248,507.3102191,152.0014461,0.000189254,11.713
1435.803111,508.3072693,151.9265375,0.000112094,11.677
1436.802974,509.3043333,151.8517939,3.06E-05,11.642
1437.802837,510.30141,151.7772009,-5.38E-05,11.606
1438.802699,511.2984982,151.7027441,-0.000140007,11.57
1439.802562,512.2955969,151.6284088,-0.000226906,11.534
1440.802425,513.292701,151.5541356,-0.000313307,11.499
1441.802288,514.2897982,151.4797813,-0.000398054,11.463
1442.802151,515.2868751,151.4051932,-0.000480064,11.427
1443.802014,516.2839188,151.3302188,-0.000558415,11.391
1444.801877,517.2809192,151.2547424,-0.000632336,11.356
1445.80174,518.2779045,151.179093,-0.000701101,11.32
1446.801603,519.2749285,151.1038944,-0.000763884,11.284
1447.801465,520.2720453,151.0297757,-0.000819562,11.249
1448.801328,521.269309,150.9573661,-0.000866595,11.213
1449.801191,522.2667232,150.8867068,-0.00090307,11.177
1450.801054,523.2641181,150.8158244,-0.000926869,11.141
1451.800917,524.2612867,150.7423142,-0.000935903,11.106
1452.80078,525.2580222,150.6637717,-0.00092839,11.07
1453.800643,526.2541263,150.5778943,-0.00090307,11.034
1454.800506,527.2495929,150.4846249,-0.000859294,11
1455.800369,528.244603,150.3860957,-0.00079704,11
1456.800231,529.2393453,150.2845298,-0.000716872,11
1457.800094,530.2340087,150.1821505,-0.000619844,11
1458.799957,531.2287479,150.0807749,-0.00050743,11
1459.79982,532.2235693,149.9804518,-0.00038147,11
1460.799683,533.2184391,149.8807485,-0.000244089,11
1461.799546,534.2133231,149.7812327,-9.76E-05,11
