s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
1725.821694,248.70444,191.2905837,2.4e-05,0.86,1.27336872152863,-0.011855327382508307,-0.6792602237636033
1726.82159,248.1640019,192.1318447,6.05e-05,0.961,1.2617205843822277,-0.01144888638335978,-0.6559728698913124
1727.821487,247.6235619,192.9731045,0.00011828,1.061,1.2504723182753716,-0.011055762507050496,-0.6334485309529675
1728.821384,247.0831107,193.8143571,0.000205404,1.159,1.2396104360075668,-0.010676276067027403,-0.6117055595571997
1729.82128,246.5426452,194.6556006,0.000330604,1.257,1.229121164902381,-0.010310686340868831,-0.5907588112149701
1730.821177,246.0021726,195.4968394,0.000502226,1.354,1.2189904669280147,-0.009959235348641906,-0.5706221526546822
1731.821074,245.4617007,196.3380784,0.000727201,1.449,1.2092040873023564,-0.009622141445330919,-0.5513080946953716
1732.820971,244.9212362,197.179322,0.001010588,1.544,1.1997475723231383,-0.009299581646392104,-0.5328267795755891
1733.820867,244.3807842,198.0205742,0.001362949,1.638,1.1906063128942839,-0.008991686760803239,-0.5151857020976838
1734.820764,243.8403492,198.8618383,0.001807359,1.731,1.181765575460682,-0.008698580396258801,-0.49839194446086454
1735.820661,243.2999155,199.7031036,0.002372281,1.823,1.1732105052541075,-0.008420437537503506,-0.48245553255248275
1736.820557,242.7594422,200.5443417,0.003084492,1.914,1.1649260454189854,-0.008157264973356164,-0.4673768553432041
1737.820454,242.2188903,201.3855251,0.003962379,2.004,1.1568973020275077,-0.007909069027979151,-0.4531562751808418
1738.820351,241.6783162,202.226693,0.005010834,2.093,1.1491092068310036,-0.007675909753047158,-0.43979723277290816
1739.820247,241.1378834,203.0679592,0.006220036,2.075,1.1415467699511919,-0.007457655002859983,-0.4272921567285009
1740.820144,240.5977451,203.9094301,0.007567357,2.053,1.134195164069304,-0.007254172392219603,-0.4156334619345033
1741.820041,240.0576763,204.7509491,0.009022915,2.033,1.1270396650561643,-0.007065354853962803,-0.4048150138943387
1742.819938,239.5170681,205.5920925,0.010559645,2.013,1.1200656747125757,-0.006891057270045694,-0.39482849795656105
1743.819834,238.9753689,206.4324766,0.0121686,1.994,1.1132587588277874,-0.006731098981035202,-0.38566356309812605
1744.819731,238.4335014,207.2727436,0.013864769,1.977,1.1066046667916403,-0.006585278479741239,-0.3773086638075
1745.819628,237.8937407,208.1144773,0.015679458,1.96,1.100089368067659,-0.006453384817096261,-0.36975171359342046
1746.819524,237.3580498,208.9590446,0.017657461,1.945,1.0936990538511335,-0.006335146705840387,-0.3629771688408606
1747.819421,236.8223112,209.8035855,0.01985452,1.93,1.08742021654263,-0.0062302658133525975,-0.35696793634974494
1748.819318,236.2773652,210.6417347,0.022335255,1.916,1.0812396444497423,-0.0061384361174320725,-0.3517064823395291
1749.819214,235.7150921,211.4678845,0.025172068,1.902,1.075144460778533,-0.006059305808971297,-0.34717264963315836
1750.819111,235.1392016,212.284994,0.028444113,1.887,1.0691221388089114,-0.0059925112993808516,-0.34334560613897974
