s,x,y,kappa,altitude (m)
1946.816493,171.7425965,138.9815933,0.016335917,-1.495
1947.816399,172.0271229,138.0234652,0.01598094,-1.33
1948.816305,172.3345747,137.0710157,0.015619095,-1.166
1949.81621,172.6433106,136.1187639,0.015252156,-1.002
1950.816116,172.948405,135.1660212,0.014883305,-0.838
1951.816022,173.2641515,134.2176091,0.014517807,-0.675
1952.815928,173.6056264,133.2785623,0.014162465,-0.512
1953.815833,173.9774658,132.3505089,0.01382395,-0.35
1954.815739,174.3709539,131.4307202,0.0135071,-0.188
1955.815645,174.7765611,130.5161961,0.013214387,-0.027
1956.815551,175.1874974,129.6045427,0.01294691,0.134
1957.815456,175.6008573,128.6942258,0.01270571,0.294
1958.815362,176.0140546,127.7837892,0.012492459,0.455
1959.815268,176.4269436,126.8730476,0.012309485,0.616
1960.815174,176.8438736,125.9641568,0.01215968,0.776
1961.815079,177.2696747,125.0595228,0.012046081,0.936
1962.814985,177.7066063,124.1602684,0.011970362,1.096
1963.814891,178.1497971,123.2639567,0.01193079,1.255
1964.814797,178.5931498,122.3675387,0.011921573,1.415
1965.814702,179.0329319,121.4691974,0.011934909,1.574
1966.814608,179.476287,120.5727814,0.011964493,1.734
1967.814514,179.9334821,119.6837662,0.012007514,1.892
1968.81442,180.4132499,118.8068247,0.012063705,2.05
1969.814325,180.9133093,117.9408683,0.012132799,2.206
1970.814231,181.4265702,117.0822924,0.012212798,2.361
1971.814137,181.9467067,116.2279199,0.012299949,2.517
1972.814043,182.4742965,115.3784278,0.012389365,2.671
1973.813948,183.0135032,114.5364952,0.01247548,2.825
1974.813854,183.5682141,113.7046457,0.012552465,2.977
1975.81376,184.139053,112.8835712,0.012615027,3.129
1976.813666,184.7246753,112.0728589,0.012659121,3.279
1977.813571,185.3237668,111.2721029,0.012681573,3.428
1978.813477,185.935587,110.4811228,0.012678795,3.575
1979.813383,186.5597262,109.6998679,0.012645887,3.722
1980.813289,187.195756,108.928268,0.012577447,3.781
1981.813194,187.8430421,108.1660628,0.012469534,3.806
1982.8131,188.5008419,107.4128918,0.012321162,3.831
1983.813006,189.1684458,106.6684148,0.012134152,3.855
1984.812912,189.8454113,105.9324611,0.0119117,3.879
1985.812817,190.5314231,105.2049401,0.011657032,3.901
1986.812723,191.2261588,104.4857512,0.011373044,3.923
1987.812629,191.929243,103.7747178,0.011062826,3.943
1988.812535,192.6402775,103.0716313,0.010730125,3.963
1989.81244,193.3588697,102.3762823,0.010379347,3.982
1990.812346,194.0846618,101.688457,0.010014996,4
1991.812252,194.8173098,101.0079395,0.009641146,3.996
1992.812158,195.5564704,100.33451,0.00926102,3.995
1993.812063,196.301806,99.66792248,0.008876912,3.997
1994.811969,197.0529807,99.00792165,0.00849016,4.002
1995.811875,197.8096614,98.35424939,0.008101431,4.01
1996.811781,198.5715285,97.70663157,0.007711159,4.021
1997.811686,199.3382673,97.06478868,0.007320201,4.035
1998.811592,200.109568,96.4284422,0.006929991,4.053
1999.811498,200.8851471,95.79731902,0.006542189,4.073
2000.811404,201.6647298,95.17114776,0.006157913,4.096
2001.811309,202.4480461,94.54965896,0.005777373,4.123
2002.811215,203.2348501,93.93259308,0.00540002,4.152
2003.811121,204.0249042,93.31969388,0.005025069,4.184
2004.811027,204.8179727,92.71070458,0.004651871,4.22
2005.810932,205.6138302,92.10536571,0.00428001,4.258
2006.810838,206.4122549,91.50341686,0.003909194,4.299
2007.810744,207.2130243,90.9045946,0.003539168,4.344
2008.81065,208.0159133,90.30861806,0.003169706,4.391
2009.810555,208.8206954,89.71520026,0.002800624,4.441
2010.810461,209.627145,89.12405327,0.002431777,4.494
2011.810367,210.4350396,88.53488365,0.002063039,4.55
2012.810273,211.2441582,87.94739585,0.001694278,4.609
2013.810178,212.0542805,87.3612945,0.00132533,4.671
2014.810084,212.8651916,86.77628564,0.000956007,4.736
2015.80999,213.6766786,86.19207583,0.000586111,4.804
2016.809895,214.4885298,85.60837266,0.00021545,4.875
2017.809801,215.30054,85.02489114,-0.000156153,4.949
2018.809707,216.1125073,84.4413497,-0.000528852,5.026
2019.809613,216.9242282,83.85746496,-0.000902786,5.106
2020.809518,217.735487,83.2729384,-0.001278079,5.189
2021.809424,218.546062,82.68746393,-0.001654853,5.274
2022.80933,219.3557309,82.10073531,-0.002033203,5.363
2023.809236,220.1642667,81.51244571,-0.002413148,5.455
2024.809141,220.9714399,80.92228793,-0.00279461,5.551
2025.809047,221.77702,80.32995438,-0.003177447,5.649
2026.808953,222.5807659,79.73513325,-0.003561549,5.75
2027.808859,223.3824302,79.13751024,-0.003946923,5.855
2028.808764,224.1817659,78.5367725,-0.004333784,5.957
2029.80867,224.9785286,77.93262427,-0.004722626,5.965
2030.808576,225.7724754,77.32478061,-0.005114266,5.951
2031.808482,226.5633623,76.71295611,-0.005509838,5.937
2032.808387,227.3509258,76.09685722,-0.005910736,5.923
2033.808293,228.1348895,75.476185,-0.006318497,5.908
2034.808199,228.9149759,74.85064084,-0.006734701,5.893
2035.808105,229.690895,74.21993173,-0.007160888,5.878
2036.80801,230.462348,73.58376847,-0.007598516,5.862
2037.807916,231.2290347,72.9418622,-0.008048958,5.845
2038.807822,231.990637,72.29392792,-0.008513596,5.828
2039.807728,232.7468245,71.63968318,-0.008993868,5.81
2040.807633,233.4972665,70.97884754,-0.009491198,5.792
2041.807539,234.2416258,70.31116371,-0.010006806,5.773
2042.807445,234.9795614,69.63638957,-0.010541494,5.753
2043.807351,235.7107326,68.95428597,-0.011095462,5.733
2044.807256,236.4348015,68.26464338,-0.011668188,5.712
2045.807162,237.1514323,67.56727061,-0.012258363,5.69
2046.807068,237.8602814,66.86197365,-0.012863946,5.667
2047.806974,238.5609291,66.14852696,-0.013482276,5.644
2048.806879,239.2529117,65.42668699,-0.014110033,5.62
2049.806785,239.9357883,64.6962327,-0.014743343,5.595
2050.806691,240.6093227,63.95714398,-0.015378366,5.569
2051.806597,241.2733857,63.20950534,-0.016013213,5.542
2052.806502,241.9277391,62.45331896,-0.016649049,5.515
2053.806408,242.5712947,61.68793989,-0.01728809,5.486
2054.806314,243.202566,60.91242028,-0.017929872,5.456
2055.80622,243.8200908,60.12585996,-0.018570626,5.426
2056.806125,244.4225888,59.3276999,-0.019204619,5.394
2057.806031,245.0088568,58.51752496,-0.019824447,5.36
2058.805937,245.5776778,57.69494293,-0.020420753,5.326
2059.805843,246.1277459,56.8597035,-0.020983696,5.289
2060.805748,246.6577203,56.01161159,-0.021506388,5.252
2061.805654,247.1663067,55.15051592,-0.021988205,5.213
2062.80556,247.6524985,54.27653646,-0.02243465,5.172
2063.805466,248.1153992,53.38989721,-0.022854135,5.13
2064.805371,248.5539793,52.49081108,-0.023254999,5.086
2065.805277,248.9662761,51.57941223,-0.023645594,5.04
2066.805183,249.3499289,50.65580114,-0.024034366,4.993
2067.805089,249.7028866,49.72017943,-0.024428893,4.944
2068.804994,250.0260636,48.77371243,-0.024835537,4.893
2069.8049,250.322016,47.81809911,-0.025259943,4.841
2070.804806,250.5932679,46.85502721,-0.02570759,4.8
