s,velocity,energy,time
24.69790135,28.95896442,1.183277927,4.9
25.50198465,28.94699883,1.183277927,5
26.30574208,28.93526758,1.183277927,5.1
27.10918036,28.92377794,1.183277927,5.2
27.91230639,28.91253715,1.183277927,5.3
28.71512729,28.90155228,1.183277927,5.4
29.51764328,28.89057576,1.183277927,5.5
30.31986167,28.879862,1.183277927,5.6
31.12178993,28.86941726,1.183277927,5.7
31.92343569,28.85924738,1.183277927,5.8
32.72480673,28.84935766,1.183277927,5.9
33.52590327,28.83947541,1.183277927,6
34.32673322,28.82987803,1.183277927,6.1
35.12730459,28.82056925,1.183277927,6.2
35.92762548,28.81155212,1.183277927,6.3
36.72770406,28.80282878,1.183277927,6.4
37.5275405,28.79411201,1.183277927,6.5
38.32714301,28.78569037,1.183277927,6.6
39.12651979,28.77756397,1.183277927,6.7
39.92567901,28.76973202,1.183277927,6.8
40.72462881,28.76219269,1.183277927,6.9
41.52336933,28.75465901,1.183277927,7
42.32190865,28.74741519,1.183277927,7.1
43.12025468,28.74045716,1.183277927,7.2
43.91841523,28.73377992,1.183277927,7.3
44.71639794,28.72737741,1.183277927,7.4
45.51420293,28.72097969,1.183277927,7.5
46.31183764,28.71484976,1.183277927,7.6
47.1093093,28.70897947,1.183277927,7.7
47.90662484,28.70335976,1.183277927,7.8
48.70379097,28.69798068,1.183277927,7.9
49.5008078,28.6926056,1.183277927,8
50.2976817,28.68746038,1.183277927,8.1
51.09441873,28.6825332,1.183277927,8.2
51.89102461,28.67781152,1.183277927,8.3
52.68750466,28.67328204,1.183277927,8.4
53.48385899,28.66875594,1.183277927,8.5
54.28009255,28.66440807,1.183277927,8.6
55.07620987,28.66022362,1.183277927,8.7
55.87221507,28.65618718,1.183277927,8.8
56.66811182,28.65228277,1.183277927,8.9
57.46390019,28.64838129,1.183277927,9
58.25958339,28.64459532,1.183277927,9.1
59.05516416,28.64090771,1.183277927,9.2
59.85064474,28.63730084,1.183277927,9.3
60.64602687,28.63375665,1.183277927,9.4
61.44131062,28.63021514,1.183277927,9.5
62.23649723,28.62671782,1.183277927,9.6
63.03158739,28.62324581,1.183277927,9.7
63.82658127,28.61977987,1.183277927,9.8
64.62147851,28.6163005,1.183277927,9.9
65.41627917,28.61282378,1.183277927,10
66.21098233,28.60931387,1.183277927,10.1
67.00558652,28.60575085,1.183277927,10.2
67.80008971,28.60211468,1.183277927,10.3
68.5944893,28.59838525,1.183277927,10.4
69.38878538,28.5946587,1.183277927,10.5
70.18297479,28.59081879,1.183277927,10.6
70.97705383,28.58684558,1.183277927,10.7
71.77101826,28.5827193,1.183277927,10.8
72.56486815,28.57859623,1.183277927,10.9
73.35859872,28.57430051,1.183277927,11
74.15220464,28.56981309,1.183277927,11.1
74.94568006,28.5651153,1.183277927,11.2
75.73901865,28.560189,1.183277927,11.3
76.5322205,28.55526656,1.183277927,11.4
77.32527878,28.55009805,1.183277927,11.5
78.11818619,28.54466681,1.183277927,11.6
78.91093499,28.53895689,1.183277927,11.7
79.70351702,28.53295321,1.183277927,11.8
80.49593242,28.52695423,1.183277927,11.9
81.28817262,28.52064726,1.183277927,12
82.08022871,28.5140193,1.183277927,12.1
82.87209144,28.50705835,1.183277927,12.2
83.66375126,28.49975349,1.183277927,12.3
84.45520833,28.49245432,1.183277927,12.4
85.24645281,28.4848013,1.183277927,12.5
86.03747464,28.47678596,1.183277927,12.6
86.82826355,28.46840069,1.183277927,12.7
87.61880908,28.45963915,1.183277927,12.8
