s,velocity,energy
128.0599424,26.6487388,1.125707043
128.7996663,26.63005794,1.125707043
129.5388708,26.61136298,1.125707043
130.2775564,26.59268128,1.125707043
131.015723,26.5739996,1.125707043
131.7533711,26.55533207,1.125707043
132.4905015,26.53669277,1.125707043
133.2271145,26.51806664,1.125707043
133.9632112,26.49948277,1.125707043
134.6987933,26.48095514,1.125707043
135.4338611,26.46244055,1.125707043
136.1684165,26.44399615,1.125707043
136.902462,26.42563584,1.125707043
137.6360001,26.40737345,1.125707043
138.3690313,26.38912386,1.125707043
139.1015587,26.37098596,1.125707043
139.8335858,26.35297344,1.125707043
140.5651163,26.33509986,1.125707043
141.2961507,26.31723877,1.125707043
142.0266932,26.2995301,1.125707043
142.7567484,26.28198707,1.125707043
143.4863213,26.26462273,1.125707043
144.2154121,26.24727046,1.125707043
144.9440263,26.23010971,1.125707043
145.6721694,26.21315307,1.125707043
146.3998419,26.19620819,1.125707043
147.1270497,26.17947986,1.125707043
147.8537991,26.1629801,1.125707043
148.5800969,26.14672068,1.125707043
149.3059434,26.13047249,1.125707043
150.0313455,26.11447613,1.125707043
150.7563105,26.09874256,1.125707043
151.4808462,26.08328242,1.125707043
152.2049526,26.0678329,1.125707043
152.9286378,26.05266711,1.125707043
153.6519099,26.03779469,1.125707043
154.3747691,26.02293247,1.125707043
155.0972239,26.00837301,1.125707043
155.819283,25.994125,1.125707043
156.5409551,25.98019674,1.125707043
157.2622406,25.96627799,1.125707043
157.9831486,25.9526869,1.125707043
158.7036883,25.9394306,1.125707043
159.4238601,25.92618333,1.125707043
160.1436733,25.91327773,1.125707043
160.8631378,25.90071983,1.125707043
161.5822632,25.88851527,1.125707043
162.3010498,25.87631899,1.125707043
163.0195077,25.86448124,1.125707043
163.7376467,25.85300633,1.125707043
164.4554772,25.84189813,1.125707043
165.1729994,25.83079744,1.125707043
165.8902235,25.82006686,1.125707043
166.6071598,25.80970893,1.125707043
167.3238086,25.79935797,1.125707043
168.0401804,25.7893819,1.125707043
168.7562854,25.77978206,1.125707043
169.4721343,25.77055933,1.125707043
170.1877271,25.76134277,1.125707043
170.9030745,25.75250327,1.125707043
171.6181867,25.74403973,1.125707043
172.333064,25.73558184,1.125707043
173.0477167,25.72749847,1.125707043
173.7621552,25.71978747,1.125707043
174.4763898,25.7124457,1.125707043
175.1904206,25.70510882,1.125707043
175.9042577,25.69813578,1.125707043
176.6179111,25.69152048,1.125707043
177.3313808,25.68490958,1.125707043
178.0446766,25.67864988,1.125707043
178.7578081,25.67273376,1.125707043
179.4707846,25.66715301,1.125707043
180.1836061,25.66157596,1.125707043
180.8962819,25.65632561,1.125707043
181.6088205,25.65139242,1.125707043
182.3212223,25.6464625,1.125707043
183.0334956,25.64183984,1.125707043
183.7456488,25.63751378,1.125707043
184.4576897,25.63347325,1.125707043
185.1696184,25.62943539,1.125707043
185.8814427,25.62567164,1.125707043
186.5931696,25.62216994,1.125707043
187.3047993,25.61867055,1.125707043
188.0163388,25.61542098,1.125707043
188.7277946,25.61240852,1.125707043
189.4391729,25.6096203,1.125707043
190.1504739,25.60683392,1.125707043
190.8617033,25.60425888,1.125707043
191.5728667,25.601882,1.125707043
192.2839641,25.59950668,1.125707043
192.9950007,25.59731652,1.125707043
193.7059812,25.59529843,1.125707043
194.4169057,25.59328167,1.125707043
195.1277786,25.59142418,1.125707043
195.8386039,25.58971321,1.125707043
196.5493855,25.58813636,1.125707043
197.2601233,25.58656055,1.125707043
197.9708207,25.58510695,1.125707043
198.6814808,25.58376398,1.125707043
199.3921036,25.58242189,1.125707043
200.102692,25.58117945,1.125707043
200.8132482,25.58002612,1.125707043
201.5237747,25.57895202,1.125707043
202.2342713,25.57787863,1.125707043
202.9447401,25.57687525,1.125707043
203.6551827,25.57593324,1.125707043
204.3655991,25.57499186,1.125707043
205.0759909,25.57410395,1.125707043
205.7863593,25.57326228,1.125707043
206.4967054,25.57246029,1.125707043
207.2070292,25.57165884,1.125707043
207.9173318,25.57089123,1.125707043
208.6276138,25.57015225,1.125707043
209.3378753,25.56941376,1.125707043
210.0481169,25.56869931,1.125707043
210.7583393,25.56800485,1.125707043
211.4685428,25.56732688,1.125707043
212.1787275,25.56664938,1.125707043
212.8888938,25.56598534,1.125707043
213.5990419,25.56533215,1.125707043
214.3091719,25.5646794,1.125707043
215.019284,25.56403522,1.125707043
215.7293783,25.56339752,1.125707043
216.4394551,25.56276432,1.125707043
217.1495143,25.56213156,1.125707043
217.859556,25.56150126,1.125707043
218.5695802,25.56087103,1.125707043
219.2795869,25.56024123,1.125707043
219.9895761,25.55960883,1.125707043
220.6995475,25.55897058,1.125707043
221.4095012,25.55833276,1.125707043
222.1194369,25.55768527,1.125707043
222.8293542,25.55702371,1.125707043
223.5392526,25.55634328,1.125707043
224.2491322,25.55566331,1.125707043
224.9589921,25.55495899,1.125707043
225.6688317,25.55422445,1.125707043
226.3786509,25.55349042,1.125707043
227.0884486,25.55271956,1.125707043
227.7982237,25.55190271,1.125707043
228.5079744,25.5510266,1.125707043
229.2177009,25.55015112,1.125707043
229.927401,25.54920497,1.125707043
230.6370725,25.5481753,1.125707043
231.3467155,25.54714637,1.125707043
232.0563272,25.5460195,1.125707043
232.7659043,25.54477902,1.125707043
233.4754435,25.54340792,1.125707043
234.1849445,25.54203781,1.125707043
234.8944034,25.54051882,1.125707043
235.6038153,25.53883159,1.125707043
236.3131805,25.53714558,1.125707043
237.0224936,25.5352707,1.125707043
237.7317487,25.53318547,1.125707043
238.4409395,25.53086749,1.125707043
239.1500659,25.52855119,1.125707043
239.8591209,25.52597887,1.125707043
240.5680966,25.52312694,1.125707043
241.2769932,25.52027707,1.125707043
241.9858022,25.51712342,1.125707043
242.6945145,25.51364193,1.125707043
243.4031301,25.51016297,1.125707043
244.1116393,25.506332,1.125707043
244.8200317,25.50212548,1.125707043
245.5282962,25.49752034,1.125707043
246.2364328,25.49291852,1.125707043
246.9444299,25.48789567,1.125707043
247.6522752,25.48243077,1.125707043
248.3599688,25.47696981,1.125707043
249.0674979,25.4710468,1.125707043
249.7748491,25.46464353,1.125707043
250.4820086,25.45774328,1.125707043
251.1889766,25.45084798,1.125707043
251.8957389,25.44344056,1.125707043
252.6022808,25.43550818,1.125707043
253.3086025,25.42758147,1.125707043
254.0146891,25.41911855,1.125707043
254.7205255,25.41011062,1.125707043
255.4260963,25.4005507,1.125707043
256.1314018,25.39099756,1.125707043
256.8364265,25.38088724,1.125707043
257.5411547,25.3702169,1.125707043
258.2455868,25.3595541,1.125707043
258.9497071,25.34832986,1.125707043
259.6535,25.33654487,1.125707043
260.3569658,25.32476815,1.125707043
261.0600889,25.31243246,1.125707043
261.7628539,25.29954137,1.125707043
262.4652456,25.28609932,1.125707043
263.1672641,25.27266664,1.125707043
263.8688943,25.25868812,1.125707043
264.5701213,25.24416998,1.125707043
265.2709452,25.2296619,1.125707043
265.9713513,25.2146204,1.125707043
266.671325,25.19905233,1.125707043
267.3708665,25.18349498,1.125707043
268.0699614,25.16741751,1.125707043
268.7685955,25.15082654,1.125707043
269.4667546,25.1337282,1.125707043
270.1644391,25.11664154,1.125707043
270.861635,25.09905285,1.125707043
271.5583286,25.08096711,1.125707043
272.2545201,25.06289366,1.125707043
272.9501958,25.04432696,1.125707043
273.6453422,25.02527026,1.125707043
274.3399596,25.00622646,1.125707043
275.0340345,24.98669449,1.125707043
275.7275532,24.96667557,1.125707043
276.4205024,24.94616986,1.125707043
277.1128823,24.92567797,1.125707043
277.8046795,24.90469823,1.125707043
278.4958803,24.88322925,1.125707043
279.1864852,24.86177471,1.125707043
279.8764804,24.8398287,1.125707043
280.5658523,24.81738914,1.125707043
281.2546013,24.79496465,1.125707043
281.9427137,24.77204439,1.125707043
282.6301756,24.74862719,1.125707043
283.3169874,24.72522573,1.125707043
284.0031353,24.70132678,1.125707043
284.6886057,24.67693157,1.125707043
285.3733846,24.65204277,1.125707043
286.0574727,24.62717077,1.125707043
286.7408563,24.60180952,1.125707043
287.423522,24.57596561,1.125707043
288.1054703,24.55013917,1.125707043
288.7866881,24.52383828,1.125707043
289.4671623,24.49707349,1.125707043
290.1468936,24.47032683,1.125707043
