s,x,y,kappa,heading,track_width_left,track_width_right,normal_x,normal_y
2826.0,454.36430762772295,-342.1381211510376,-0.00015911197117152197,4.242661343684788,5.999999993534826,5.999999993534902,0.8916916047280038,-0.45264343810288216
2827.0,453.91162279545983,-343.02979174191665,-0.0001803890907318855,4.242794906906937,5.999999902815277,5.9999999028153015,0.8917520532903984,-0.4525243368619618
2828.0,453.4589379632806,-343.9214623328389,-0.00020135460891804776,4.242959572538167,5.999999643646288,5.999999643646288,0.8918265564058121,-0.45237748981282283
2829.0,453.00625313078814,-344.81313292360034,-0.0002217451318370678,4.243103779412865,5.999999283052542,5.999999283052441,0.8918917830765314,-0.45224887758906107
2830.0,452.55356829946464,-345.70480351496167,-0.00024131734145810003,4.243189551407635,5.999999009400166,5.9999990094000895,0.8919305700840968,-0.4521723765882411
2831.0,452.1008834637805,-346.59647410408354,-0.00025984798244810037,4.243188108051302,5.999999014369885,5.99999901436986,0.8919299174373042,-0.4521736639614075
2832.0,451.6481986443637,-347.48814470156253,-0.00027713386407656333,4.243079954186111,5.999999351246618,5.999999351246542,0.8918810078913371,-0.45227012698467367
2833.0,451.19551376425846,-348.3798152678628,-0.0002929918603854699,4.242853770735049,5.999999828701075,5.999999828701075,0.8917786890602262,-0.45247184413842184
2834.0,450.74282911056554,-349.2714859504803,-0.0003072589130960605,4.24250562655315,5.999999965302368,5.999999965302164,0.8916211095796615,-0.45278228427350503
2835.0,450.29014361219083,-350.1631561991537,-0.0003197920358144486,4.242038104540427,5.99999899473184,5.999998994731763,0.8914093264586468,-0.45319908727019903
2836.0,449.8374612650817,-351.05482806674945,-0.00033046831948751586,4.241459450886129,5.99999603446786,5.9999960344680385,0.8911469319255401,-0.45371482863104307
2837.0,449.3847671615172,-351.9464938946142,-0.0003391849385451357,4.240782718215986,5.999989722788134,5.999989722788057,0.8908396842435296,-0.45431779293451474
2838.0,448.9321169178267,-352.83818225493326,-0.0003458591572141596,4.240024910350753,5.999980886803359,5.999980886803309,0.8904951428872114,-0.45499274773812065
2839.0,448.47930304603653,-353.7297865533949,-0.00035042833544656534,4.23920612650277,5.999960393958176,5.999960393957972,0.8901223037189722,-0.4557217181812054
2840.0,448.027099621185,-354.6217044612158,-0.0003528499339494457,4.238348705418426,5.99998664950481,5.99998664950481,0.8897312311610925,-0.45648476020187817
2841.0,447.5704451453646,-355.51133569814846,-0.00035310151788034373,4.237476369312479,5.999986674840898,5.999986674840848,0.8893326845439671,-0.4572607310953137
2842.0,447.1095901344951,-356.39880896356505,-0.0003511807588914063,4.236613367676333,5.999967031388904,5.999967031389108,0.8889377366589275,-0.45802805628444154
2843.0,446.64827658049677,-357.2860466582748,-0.0003471054353450236,4.235783621028327,5.99997561828655,5.999975618286397,0.8885573834504551,-0.4587654916356295
